	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
SV.BCL6	C1	3.594558649008105e-05	9.99990000099999e-06	0.21636363636363634	0.6134453781512605	0.17647058823529416	0.033613445378151266	0.09243697478991597	0.08403361344537816	0.13272727272727272	0.038181818181818185	0.007272727272727273	0.02	0.01818181818181818	73	41	21	106	4	91	11	64	10	129	219	63	12	33	30
DTX1	C1	3.594558649008105e-05	9.99990000099999e-06	0.1709090909090909	0.4468085106382979	0.10638297872340426	0.0851063829787234	0.2021276595744681	0.1595744680851064	0.07636363636363637	0.01818181818181818	0.014545454545454545	0.034545454545454546	0.02727272727272727	42	72	10	117	8	87	19	56	15	124	78	17	13	34	26
CD70	C1	3.594558649008105e-05	9.99990000099999e-06	0.09636363636363636	0.7169811320754718	0.03773584905660377	0.03773584905660377	0.1320754716981132	0.07547169811320754	0.06909090909090909	0.0036363636363636364	0.0036363636363636364	0.012727272727272728	0.007272727272727273	38	76	2	125	2	93	7	68	4	135	76	4	4	14	7
TNFAIP3	C1	3.594558649008105e-05	9.99990000099999e-06	0.1290909090909091	0.5070422535211268	0.07042253521126761	0.09859154929577466	0.1971830985915493	0.1267605633802817	0.06545454545454546	0.00909090909090909	0.012727272727272728	0.025454545454545455	0.016363636363636365	36	78	5	122	7	88	14	61	9	130	72	10	13	28	18
NOTCH2	C1	3.594558649008105e-05	9.99990000099999e-06	0.08363636363636365	0.6956521739130433	0.10869565217391303	0.08695652173913042	0.021739130434782605	0.08695652173913042	0.05818181818181818	0.00909090909090909	0.007272727272727273	0.0018181818181818182	0.007272727272727273	32	82	5	122	4	91	1	74	4	135	64	10	7	2	8
BCL10	C1	3.594558649008105e-05	9.99990000099999e-06	0.07818181818181819	0.6511627906976744	0.09302325581395349	0.09302325581395349	0.046511627906976744	0.11627906976744184	0.05090909090909091	0.007272727272727273	0.007272727272727273	0.0036363636363636364	0.00909090909090909	28	86	4	123	4	91	2	73	5	134	56	8	8	4	10
B2M	C1	3.594558649008105e-05	9.99990000099999e-06	0.11272727272727273	0.3870967741935484	0.1774193548387097	0.14516129032258066	0.25806451612903225	0.03225806451612903	0.04363636363636364	0.02	0.016363636363636365	0.02909090909090909	0.0036363636363636364	24	90	11	116	9	86	16	59	2	137	48	22	18	32	4
CD58	C1	3.594558649008105e-05	9.99990000099999e-06	0.0890909090909091	0.4897959183673469	0.1020408163265306	0.02040816326530612	0.22448979591836735	0.16326530612244897	0.04363636363636364	0.00909090909090909	0.0018181818181818182	0.02	0.014545454545454545	24	90	5	122	1	94	11	64	8	131	48	10	2	22	16
X5Q.AMP	C1	3.594558649008105e-05	9.99990000099999e-06	0.11454545454545456	0.38095238095238093	0.38095238095238093	0.1111111111111111	0.06349206349206349	0.06349206349206349	0.04363636363636364	0.04363636363636364	0.012727272727272728	0.007272727272727273	0.007272727272727273	24	90	24	103	7	88	4	71	4	135	24	24	7	4	4
FAS	C1	3.594558649008105e-05	9.99990000099999e-06	0.09636363636363637	0.43396226415094336	0.11320754716981132	0.22641509433962265	0.16981132075471697	0.05660377358490566	0.04181818181818182	0.01090909090909091	0.02181818181818182	0.016363636363636365	0.005454545454545455	23	91	6	121	12	83	9	66	3	136	46	12	24	18	6
UBE2A	C1	3.594558649008105e-05	9.99990000099999e-06	0.05090909090909091	0.75	0.0	0.03571428571428571	0.07142857142857142	0.14285714285714285	0.038181818181818185	0.0	0.0018181818181818182	0.0036363636363636364	0.007272727272727273	21	93	0	127	1	94	2	73	4	135	42	0	2	4	8
ZEB2	C1	3.594558649008105e-05	9.99990000099999e-06	0.06909090909090909	0.4736842105263158	0.2631578947368421	0.05263157894736842	0.1842105263157895	0.02631578947368421	0.03272727272727273	0.01818181818181818	0.0036363636363636364	0.012727272727272728	0.0018181818181818182	18	96	10	117	2	93	7	68	1	138	34	18	4	14	2
BCL7A	C1	9.614361687708424e-05	2.999970000299997e-05	0.09636363636363636	0.339622641509434	0.07547169811320754	0.20754716981132076	0.2830188679245283	0.09433962264150943	0.03272727272727273	0.007272727272727273	0.02	0.02727272727272727	0.00909090909090909	18	96	4	123	11	84	15	60	5	134	32	8	22	30	9
TMEM30A	C1	0.00017733156001773317	5.999940000599994e-05	0.07636363636363637	0.5238095238095237	0.09523809523809523	0.14285714285714285	0.047619047619047616	0.19047619047619047	0.04	0.007272727272727273	0.01090909090909091	0.0036363636363636364	0.014545454545454545	22	92	4	123	6	89	2	73	8	131	44	8	12	4	16
EBF1	C1	0.00017733156001773317	5.999940000599994e-05	0.10363636363636364	0.3508771929824561	0.19298245614035087	0.15789473684210528	0.2456140350877193	0.052631578947368425	0.03636363636363636	0.02	0.016363636363636365	0.025454545454545455	0.005454545454545455	20	94	11	116	9	86	14	61	3	136	39	21	18	27	5
GNAI2	C1	0.00028912754350717365	9.99990000099999e-05	0.06545454545454546	0.41666666666666663	0.08333333333333333	0.3333333333333333	0.1111111111111111	0.05555555555555555	0.02727272727272727	0.005454545454545455	0.02181818181818182	0.007272727272727273	0.0036363636363636364	15	99	3	124	12	83	4	71	2	137	30	6	22	8	3
NFKBIE	C1	0.0012181186599348958	0.0004899951000489995	0.049090909090909095	0.4444444444444444	0.07407407407407407	0.037037037037037035	0.2962962962962963	0.14814814814814814	0.02181818181818182	0.0036363636363636364	0.0018181818181818182	0.014545454545454545	0.007272727272727273	12	102	2	125	1	94	8	67	4	135	23	4	2	16	7
BCL6	C1	0.0014992577346953804	0.0006199938000619994	0.07818181818181819	0.4418604651162791	0.06976744186046512	0.20930232558139536	0.13953488372093023	0.13953488372093023	0.034545454545454546	0.005454545454545455	0.016363636363636365	0.01090909090909091	0.01090909090909091	19	95	3	124	9	86	6	69	6	133	38	6	18	12	11
SPEN	C1	0.0030069264524746056	0.0012999870001299987	0.10545454545454547	0.43103448275862066	0.20689655172413793	0.08620689655172413	0.10344827586206896	0.17241379310344826	0.045454545454545456	0.02181818181818182	0.00909090909090909	0.01090909090909091	0.01818181818181818	25	89	12	115	5	90	6	69	10	129	48	23	9	10	19
CXCR4	C1	0.0036518278885007763	0.0016199838001619985	0.03272727272727272	0.38888888888888895	0.055555555555555566	0.11111111111111113	0.38888888888888895	0.055555555555555566	0.012727272727272728	0.0018181818181818182	0.0036363636363636364	0.012727272727272728	0.0018181818181818182	7	107	1	126	2	93	7	68	1	138	14	2	4	14	2
IKZF3	C1	0.005492953200549295	0.0025399746002539975	0.04909090909090909	0.4814814814814815	0.07407407407407408	0.07407407407407408	0.03703703703703704	0.33333333333333337	0.023636363636363636	0.0036363636363636364	0.0036363636363636364	0.0018181818181818182	0.016363636363636365	13	101	2	125	2	93	1	74	9	130	25	4	4	2	17
MYD88.OTHER	C1	0.011847112298107788	0.005789942100578994	0.1090909090909091	0.35	0.2	0.11666666666666665	0.03333333333333333	0.3	0.038181818181818185	0.02181818181818182	0.012727272727272728	0.0036363636363636364	0.03272727272727273	21	93	12	115	7	88	2	73	18	121	42	24	14	4	35
POU2F2	C1	0.019773772850506792	0.01010989890101099	0.061818181818181814	0.3529411764705883	0.029411764705882356	0.17647058823529416	0.11764705882352942	0.3235294117647059	0.02181818181818182	0.0018181818181818182	0.01090909090909091	0.007272727272727273	0.02	12	102	1	126	6	89	4	71	11	128	24	2	12	7	20
TUBGCP5	C1	0.027017729822701772	0.014219857801421985	0.04727272727272727	0.46153846153846156	0.1923076923076923	0.038461538461538464	0.038461538461538464	0.2692307692307692	0.02181818181818182	0.00909090909090909	0.0018181818181818182	0.0018181818181818182	0.012727272727272728	12	102	5	122	1	94	1	74	7	132	21	9	2	1	13
SMG7	C1	0.040952507141595255	0.022169778302216978	0.03090909090909091	0.47058823529411764	0.058823529411764705	0.2941176470588235	0.058823529411764705	0.11764705882352941	0.014545454545454545	0.0018181818181818182	0.00909090909090909	0.0018181818181818182	0.0036363636363636364	8	106	1	126	5	90	1	74	2	137	15	1	10	2	4
CCDC27	C1	0.05343311431750548	0.02972970270297297	0.01818181818181818	0.6000000000000001	0.1	0.0	0.0	0.30000000000000004	0.01090909090909091	0.0018181818181818182	0.0	0.0	0.005454545454545455	6	108	1	126	0	95	0	75	3	136	11	2	0	0	6
FADD	C1	0.07018897552959953	0.04089959100408996	0.027272727272727275	0.4666666666666666	0.06666666666666667	0.2	0.2	0.06666666666666667	0.012727272727272728	0.0018181818181818182	0.005454545454545455	0.005454545454545455	0.0018181818181818182	7	107	1	126	3	92	3	72	1	138	14	2	6	6	2
RHOA	C1	0.077240883642119	0.045589544104558954	0.04363636363636363	0.4166666666666667	0.08333333333333334	0.20833333333333334	0.16666666666666669	0.12500000000000003	0.01818181818181818	0.0036363636363636364	0.00909090909090909	0.007272727272727273	0.005454545454545455	10	104	2	125	5	90	4	71	3	136	19	4	10	8	6
TNIP1	C1	0.09277067723149929	0.056499435005649946	0.03090909090909091	0.5294117647058824	0.17647058823529413	0.11764705882352941	0.058823529411764705	0.11764705882352941	0.016363636363636365	0.005454545454545455	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	9	105	3	124	2	93	1	74	2	137	18	6	4	2	4
TRAF6	C1	0.15089446738668708	0.0958690413095869	0.02	0.5454545454545455	0.09090909090909091	0.18181818181818182	0.0	0.18181818181818182	0.01090909090909091	0.0018181818181818182	0.0036363636363636364	0.0	0.0036363636363636364	6	108	1	126	2	93	0	75	2	137	12	2	3	0	4
CIITA	C1	0.15514449506667724	0.1001589984100159	0.06181818181818182	0.3235294117647059	0.14705882352941174	0.23529411764705882	0.17647058823529413	0.11764705882352941	0.02	0.00909090909090909	0.014545454545454545	0.01090909090909091	0.007272727272727273	11	103	5	122	8	87	6	69	4	135	21	9	15	11	7
ARHGEF6	C1	0.15643103684570092	0.1017389826101739	0.02	0.36363636363636365	0.0	0.36363636363636365	0.09090909090909091	0.18181818181818182	0.007272727272727273	0.0	0.007272727272727273	0.0018181818181818182	0.0036363636363636364	4	110	0	127	4	91	1	74	2	137	7	0	8	2	4
CCND3	C1	0.17840061599384005	0.11736882631173688	0.08363636363636365	0.3695652173913043	0.21739130434782605	0.13043478260869565	0.08695652173913042	0.19565217391304346	0.03090909090909091	0.01818181818181818	0.01090909090909091	0.007272727272727273	0.016363636363636365	17	97	10	117	6	89	4	71	9	130	34	20	12	8	18
MSL2	C1	0.18287317126828734	0.12099879001209989	0.021818181818181816	0.33333333333333337	0.16666666666666669	0.0	0.33333333333333337	0.16666666666666669	0.007272727272727273	0.0036363636363636364	0.0	0.007272727272727273	0.0036363636363636364	4	110	2	125	0	95	4	71	2	137	8	4	0	8	3
GRB2	C1	0.20079084125359864	0.13511864881351188	0.02727272727272727	0.3333333333333333	0.0	0.20000000000000004	0.13333333333333333	0.3333333333333333	0.00909090909090909	0.0	0.005454545454545455	0.0036363636363636364	0.00909090909090909	5	109	0	127	3	92	2	73	5	134	10	0	6	3	10
FCRL3	C1	0.21167249865962878	0.14482855171448286	0.03636363636363637	0.39999999999999997	0.15	0.15	0.19999999999999998	0.09999999999999999	0.014545454545454545	0.005454545454545455	0.005454545454545455	0.007272727272727273	0.0036363636363636364	8	106	3	124	3	92	4	71	2	137	13	5	6	7	4
CXCR5	C1	0.21167249865962878	0.14436855631443685	0.034545454545454546	0.368421052631579	0.10526315789473684	0.21052631578947367	0.21052631578947367	0.10526315789473684	0.012727272727272728	0.0036363636363636364	0.007272727272727273	0.007272727272727273	0.0036363636363636364	7	107	2	125	4	91	4	71	2	137	13	4	8	7	4
IL6	C1	0.2551310657106195	0.18031819681803182	0.025454545454545452	0.35714285714285715	0.35714285714285715	0.0	0.14285714285714288	0.14285714285714288	0.00909090909090909	0.00909090909090909	0.0	0.0036363636363636364	0.0036363636363636364	5	109	5	122	0	95	2	73	2	137	10	10	0	3	4
SCN9A	C1	0.26309810975964315	0.18693813061869383	0.0890909090909091	0.26530612244897955	0.1020408163265306	0.2040816326530612	0.16326530612244897	0.26530612244897955	0.023636363636363636	0.00909090909090909	0.01818181818181818	0.014545454545454545	0.023636363636363636	13	101	5	122	10	85	8	67	13	126	25	9	19	14	24
ESX1	C1	0.42630939544263097	0.32854671453285467	0.034545454545454546	0.31578947368421056	0.15789473684210528	0.21052631578947367	0.21052631578947367	0.10526315789473684	0.01090909090909091	0.005454545454545455	0.007272727272727273	0.007272727272727273	0.0036363636363636364	6	108	3	124	4	91	4	71	2	137	11	6	8	7	4
C2ORF16	C1	0.483139835268314	0.38142618573814263	0.03272727272727273	0.27777777777777773	0.05555555555555555	0.2222222222222222	0.16666666666666666	0.27777777777777773	0.00909090909090909	0.0018181818181818182	0.007272727272727273	0.005454545454545455	0.00909090909090909	5	109	1	126	4	91	3	72	5	134	10	2	7	5	10
RAB5B	C1	0.5172101767354419	0.4161758382416176	0.014545454545454545	0.37500000000000006	0.37500000000000006	0.0	0.0	0.25	0.005454545454545455	0.005454545454545455	0.0	0.0	0.0036363636363636364	3	111	3	124	0	95	0	75	2	137	6	6	0	0	4
ATN1	C1	0.5636362727281818	0.46500534994650056	0.021818181818181816	0.25000000000000006	0.08333333333333334	0.25000000000000006	0.25000000000000006	0.16666666666666669	0.005454545454545455	0.0018181818181818182	0.005454545454545455	0.005454545454545455	0.0036363636363636364	3	111	1	126	3	92	3	72	2	137	5	2	4	5	3
SIRT5	C1	0.5636362727281818	0.46616533834661655	0.021818181818181816	0.25000000000000006	0.08333333333333334	0.25000000000000006	0.25000000000000006	0.16666666666666669	0.005454545454545455	0.0018181818181818182	0.005454545454545455	0.005454545454545455	0.0036363636363636364	3	111	1	126	3	92	3	72	2	137	6	2	5	6	4
C9ORF43	C1	0.5865361166208157	0.4895151048489515	0.02909090909090909	0.3125	0.25	0.18750000000000003	0.0	0.25	0.00909090909090909	0.007272727272727273	0.005454545454545455	0.0	0.007272727272727273	5	109	4	123	3	92	0	75	4	135	10	7	6	0	7
INTS3	C1	0.6305549333887193	0.5357346426535735	0.012727272727272726	0.42857142857142866	0.28571428571428575	0.0	0.14285714285714288	0.14285714285714288	0.005454545454545455	0.0036363636363636364	0.0	0.0018181818181818182	0.0018181818181818182	3	111	2	125	0	95	1	74	1	138	4	3	0	2	2
NAV1	C1	0.6695731303556529	0.5789542104578954	0.04727272727272727	0.3076923076923077	0.15384615384615385	0.15384615384615385	0.07692307692307693	0.3076923076923077	0.014545454545454545	0.007272727272727273	0.007272727272727273	0.0036363636363636364	0.014545454545454545	8	106	4	123	4	91	2	73	8	131	14	7	8	4	13
PRKCB	C1	0.6704050200877302	0.5847141528584714	0.041818181818181824	0.3478260869565217	0.17391304347826084	0.13043478260869565	0.08695652173913042	0.2608695652173913	0.014545454545454545	0.007272727272727273	0.005454545454545455	0.0036363636363636364	0.01090909090909091	8	106	4	123	3	92	2	73	6	133	16	7	5	4	12
C3ORF33	C1	0.7548648362888756	0.6782432175678244	0.016363636363636365	0.3333333333333333	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.005454545454545455	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	0.0018181818181818182	3	111	2	125	1	94	2	73	1	138	6	4	2	4	2
DOCK1	C1	0.7589387742486211	0.6904630953690463	0.08727272727272728	0.29166666666666663	0.1875	0.16666666666666666	0.125	0.22916666666666666	0.025454545454545455	0.016363636363636365	0.014545454545454545	0.01090909090909091	0.02	14	100	9	118	8	87	6	69	11	128	27	18	15	12	18
ALOX15	C1	0.7929856473792986	0.7333626663733362	0.02	0.27272727272727276	0.27272727272727276	0.18181818181818182	0.18181818181818182	0.09090909090909091	0.005454545454545455	0.005454545454545455	0.0036363636363636364	0.0036363636363636364	0.0018181818181818182	3	111	3	124	2	93	2	73	1	138	6	6	4	4	2
KAT6B	C1	0.8338802095850009	0.7774522254777452	0.03272727272727273	0.27777777777777773	0.27777777777777773	0.1111111111111111	0.16666666666666666	0.16666666666666666	0.00909090909090909	0.00909090909090909	0.0036363636363636364	0.005454545454545455	0.005454545454545455	5	109	5	122	2	93	3	72	3	136	8	8	4	5	5
WRNIP1	C1	0.8473136955377435	0.7931620683793162	0.03090909090909091	0.2941176470588235	0.17647058823529413	0.23529411764705882	0.11764705882352941	0.17647058823529413	0.00909090909090909	0.005454545454545455	0.007272727272727273	0.0036363636363636364	0.005454545454545455	5	109	3	124	4	91	2	73	3	136	9	5	7	3	5
NLRP8	C1	0.8695799998521754	0.8240517594824052	0.03090909090909091	0.2941176470588235	0.23529411764705882	0.11764705882352941	0.058823529411764705	0.2941176470588235	0.00909090909090909	0.007272727272727273	0.0036363636363636364	0.0018181818181818182	0.00909090909090909	5	109	4	123	2	93	1	74	5	134	10	7	3	2	9
GABRA2	C1	0.8695799998521754	0.8270817291827082	0.02727272727272727	0.26666666666666666	0.26666666666666666	0.20000000000000004	0.13333333333333333	0.13333333333333333	0.007272727272727273	0.007272727272727273	0.005454545454545455	0.0036363636363636364	0.0036363636363636364	4	110	4	123	3	92	2	73	2	137	7	7	4	4	4
ZNF444	C1	0.8787196049608131	0.8423815761842381	0.045454545454545456	0.28	0.16	0.19999999999999998	0.12000000000000001	0.24000000000000002	0.012727272727272728	0.007272727272727273	0.00909090909090909	0.005454545454545455	0.01090909090909091	7	107	4	123	5	90	3	72	6	133	14	8	10	6	12
UVRAG	C1	0.9740720285104841	0.95210047899521	0.014545454545454545	0.25	0.125	0.25	0.125	0.25	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	2	112	1	126	2	93	1	74	2	137	4	2	4	2	3
TMC1	C1	0.9815709505740192	0.963120368796312	0.02727272727272727	0.26666666666666666	0.26666666666666666	0.13333333333333333	0.13333333333333333	0.20000000000000004	0.007272727272727273	0.007272727272727273	0.0036363636363636364	0.0036363636363636364	0.005454545454545455	4	110	4	123	2	93	2	73	3	136	8	8	4	4	5
RNPS1	C1	0.9899955753294177	0.978830211697883	0.012727272727272726	0.28571428571428575	0.14285714285714288	0.14285714285714288	0.14285714285714288	0.28571428571428575	0.0036363636363636364	0.0018181818181818182	0.0018181818181818182	0.0018181818181818182	0.0036363636363636364	2	112	1	126	1	94	1	74	2	137	4	2	2	2	4
X17P.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.24909090909090909	0.06569343065693431	0.5693430656934306	0.1094890510948905	0.06569343065693431	0.1897810218978102	0.016363636363636365	0.14181818181818182	0.02727272727272727	0.016363636363636365	0.04727272727272727	9	105	78	49	15	80	9	66	26	113	9	81	17	9	26
TP53	C2	3.594558649008105e-05	9.99990000099999e-06	0.22545454545454546	0.11290322580645161	0.5564516129032258	0.11290322580645161	0.11290322580645161	0.10483870967741934	0.025454545454545455	0.12545454545454546	0.025454545454545455	0.025454545454545455	0.023636363636363636	14	100	69	58	14	81	14	61	13	126	28	137	28	28	26
X15Q15.3.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.26	0.11888111888111888	0.41258741258741255	0.15384615384615385	0.10489510489510488	0.20979020979020976	0.03090909090909091	0.10727272727272727	0.04	0.02727272727272727	0.05454545454545454	17	97	59	68	22	73	15	60	30	109	17	59	23	15	30
X6Q.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.27636363636363637	0.21710526315789472	0.3618421052631579	0.11842105263157895	0.03947368421052632	0.2631578947368421	0.06	0.1	0.03272727272727273	0.01090909090909091	0.07272727272727272	33	81	55	72	18	77	6	69	40	99	33	55	19	6	41
X1P36.32.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.22545454545454544	0.1370967741935484	0.43548387096774194	0.19354838709677422	0.10483870967741936	0.12903225806451615	0.03090909090909091	0.09818181818181818	0.04363636363636364	0.023636363636363636	0.02909090909090909	17	97	54	73	24	71	13	62	16	123	18	54	25	13	16
X1P36.11.DEL	C2	3.594558649008105e-05	9.99990000099999e-06	0.16727272727272727	0.10869565217391304	0.5869565217391304	0.09782608695652174	0.11956521739130435	0.08695652173913043	0.01818181818181818	0.09818181818181818	0.016363636363636365	0.02	0.014545454545454545	10	104	54	73	9	86	11	64	8	131	10	55	9	11	8
